Gene	B6_E14_lung_rep2_TAGCTCG-TAGTAGA_R1.final	B6_E10_limb_rep2_GGACATT-ACTCCTA_R1.final	B6_E10_trunk_rep2_TCCACGT-GTTTAGT_R1.final	B6_E10_head_rep1_GACTTGC-GAACCGT_R1.final	B6_E10_limb_rep1_CCACTCG-CCGAATT_R1.final	B6_E14_palate_rep1_ACTCTTT-CTTCATT_R1.final	B6_E10_limb_rep3_CGGTTTG-AAGCCTT_R1.final	B6_E14_palate_rep2_AAGTTTC-GCTTCCT_R1.final	B6_E14_lung_rep1_AGATCAG-ATGGAAC_R1.final	B6_E10_trunk_rep3_GCGTTCA-GCAATAT_R1.final	B6_E10_head_rep3_CTCCTAG-AGGTAGG_R1.final	B6_E10_trunk_rep1_AGCTTAT-GCTCCTC_R1.final
Pnrc1	912	748	846	725	1479	681	1798	1097	724	837	607	841
Olfr1270	0	0	0	0	0	0	3	0	0	0	1	0
DQ559831	0	0	0	0	0	0	0	0	0	0	0	0
AB346742	0	0	0	0	0	0	0	0	0	0	0	0
Abhd1	8	21	10	4	36	9	37	13	7	4	11	9
Mpp7	409	454	408	287	889	433	848	541	291	402	286	462
Zfp874a	282	185	155	162	294	158	370	236	243	200	116	195
Acbd3	1095	782	879	702	1377	675	1488	944	952	973	582	929
Amh	14	7	25	10	17	8	25	6	6	12	18	8
Mob4	1570	1450	1132	1009	2637	805	2561	1090	1358	1075	735	1331
Robo3	6	7	223	209	4	3	2	10	0	286	206	551
Mir8096	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	1	0	0	0	0	0	1	1
AK006476	19	0	2	3	0	0	0	0	9	1	1	1
AK018014	0	1	1	0	0	0	0	2	1	0	1	0
KY467945	2	2	1	2	1	0	1	0	1	1	0	0
AK089903	20	18	28	21	44	33	46	45	17	27	21	27
DQ703990	0	0	0	0	0	0	0	0	0	0	0	0
Zwilch	904	725	879	649	1232	277	1262	342	739	797	526	792
AK143933	0	0	0	2	0	0	0	0	0	0	0	0
Cox16	771	351	455	421	935	342	895	400	709	364	280	496
Cspp1	806	971	1108	764	1709	786	1693	847	597	1126	805	1072
Tmigd3	0	0	3	0	4	1	1	1	1	0	7	3
AK220016	0	2115	0	0	3678	0	4133	0	0	0	0	887
Tas2r131	0	0	0	0	0	0	0	0	0	0	0	0
Gm38403	10	0	0	0	1	2	0	0	4	0	0	0
Map3k11	1532	792	1317	905	1391	527	1456	731	1195	1502	696	1215
AK077029	1	4	0	1	0	1	2	3	0	1	1	4
Tgs1	941	909	1080	887	1524	564	1647	722	684	1483	868	1153
Mir6414	0	0	0	0	0	0	0	0	0	0	0	0
Gm340	400	313	486	360	613	274	594	371	321	641	477	425
Sipa1	1443	633	1045	743	1084	416	1207	644	1216	1099	569	1114
1700016P04Rik	0	1	0	0	0	0	1	0	1	0	0	0
DQ725134	0	0	0	0	0	0	0	0	0	0	0	0
Pfdn4	656	469	500	438	1022	221	1085	343	494	372	273	649
Mir6942	0	0	0	0	0	0	0	0	0	0	0	0
Glra1	0	0	141	33	4	0	0	2	0	244	71	176
Emilin1	4013	1918	1766	1447	3724	1871	3939	2780	3631	1612	802	2209
Gast	0	0	0	0	0	0	0	2	0	1	0	1
Atp5h	3988	2350	2722	2567	5557	1468	6002	2361	3508	2041	1800	2926
Sars2	350	357	416	369	625	180	729	228	351	430	298	480
Mettl7a2	0	3	1	0	7	0	0	0	0	1	0	0
DQ693233	0	0	0	0	0	0	0	0	0	0	0	0
AK165383	34	27	76	45	59	72	71	39	31	66	66	58
4930430J02Rik	0	0	3	0	0	0	0	0	0	1	0	0
Serpinf1	404	685	831	739	1416	557	1561	839	436	586	399	912
Paqr7	139	80	53	72	99	84	121	131	138	49	60	54
Kdf1	50	108	49	68	176	60	176	115	46	65	34	45
Col23a1	1015	1343	1012	1482	2486	1092	2758	1772	849	972	784	1206
Zfy1	0	0	0	0	1	0	0	0	0	2	0	0
Gm10865	8	2	8	4	3	4	20	5	1	3	0	7
Acvrl1	716	112	207	172	171	166	189	242	557	172	141	230
Itk	0	0	3	3	5	2	4	1	2	3	2	1
Rrp8	1066	794	903	676	1537	379	1656	538	849	860	542	869
AK040320	73	66	105	103	167	102	166	134	72	121	103	146
AK040272	1	4	1	0	1	1	1	0	0	0	1	1
Dpm1	83	44	47	51	103	55	104	67	65	31	33	62
Man2b2	288	151	166	175	214	205	236	310	249	164	157	219
AB340043	0	0	0	0	0	0	0	0	0	0	0	0
KC202843	0	0	0	0	0	0	0	0	0	0	0	0
Lct	14	11	33	20	31	15	25	13	16	31	29	36
DQ549706	0	0	0	0	0	0	0	0	0	0	0	0
DQ722071	0	0	0	0	0	0	0	0	0	0	0	0
4930578E11Rik	3	2	0	0	1	0	4	0	2	1	4	0
Nat8f6	2	0	0	0	2	0	0	1	0	0	0	0
DQ715130	0	0	0	0	0	0	0	0	0	0	0	0
Zfp608	982	1021	1687	1162	1835	1173	1966	1477	863	2072	1319	1566
Rnpepl1	346	246	369	302	526	316	568	444	320	466	268	343
Lrrfip2	861	796	865	741	1344	424	1421	580	743	956	564	890
Tuba1a	21759	19146	33855	37442	37952	16018	40760	25888	21195	31914	27158	43819
Snord83b	0	0	0	0	0	0	0	0	0	0	0	0
B4galt5	865	632	1010	604	1159	536	1215	790	806	964	558	1199
P3h4	1655	594	480	369	1071	520	1182	835	1435	397	207	573
Masp2	0	7	7	1	7	1	6	4	1	2	3	3
KY468197	0	0	1	1	0	1	0	0	1	1	0	8
Mir3072	0	0	0	0	0	0	0	0	0	0	0	0
Nedd1	1277	961	941	866	1654	465	1752	729	997	1148	718	1079
Pea15a	1834	625	1577	1760	1196	822	1402	1224	1668	1850	1827	1738
Clasrp	628	697	853	575	1263	479	1378	564	599	799	491	842
1700006H21Rik	0	0	0	0	0	0	0	0	0	0	2	0
U21394	0	0	0	0	0	0	0	0	0	0	0	0
Snord22	38	13	22	31	37	6	55	13	4	27	23	28
Usmg5	2038	1199	1299	1338	2923	728	3054	1082	1703	887	817	1484
Siva1	2038	1185	1644	1545	3031	751	3667	1255	1597	966	1039	1817
Ist1	2602	2531	2189	1800	4581	1611	4716	2213	2167	2174	1459	2394
Gm6559	2	2	9	8	3	1	6	3	1	5	3	4
Ebna1bp2	1889	1474	1940	1520	2783	707	2979	1034	1732	1718	1112	1778
Adam15	587	253	379	320	503	431	497	646	577	284	171	360
Slc9a8	577	460	604	412	792	391	871	460	500	531	379	543
AK086290	3	1	3	5	0	2	0	8	0	10	7	4
Dlx4os	0	11	4	25	37	15	32	31	3	5	12	6
DQ701172	0	0	0	0	0	0	0	0	0	0	0	0
Zfp35	333	242	334	265	517	226	595	266	218	327	271	339
Tcte3	0	4	0	4	0	0	2	4	0	0	4	0
DQ694768	0	0	0	0	0	0	0	0	0	0	0	0
Cfap74	198	207	292	219	343	169	378	219	150	317	264	271
AK019514	0	0	1	0	2	0	4	0	1	1	0	3
DQ685077	0	0	0	0	0	0	0	0	0	0	0	0
Pramef17	0	0	0	0	0	0	0	0	0	1	0	0
Rspo3	234	248	272	202	425	218	454	453	177	418	315	339
Fam98a	598	462	568	452	834	357	894	500	480	593	415	599
DQ685504	10	21	26	15	32	7	32	18	10	16	16	28
Slc27a3	690	770	718	716	1460	403	1633	745	607	605	513	738
Tle4	909	1074	1199	1128	1932	750	2035	1055	788	1559	1108	1095
Mir7087	0	0	0	0	0	0	0	0	0	0	0	0
Rbm11	11	3	9	13	16	37	10	24	8	12	19	8
X02970	2	1	1	0	1	1	0	2	1	1	3	0
Gm7030	0	0	0	0	0	0	0	0	0	1	0	0
4930590A17Rik	0	2	4	1	2	1	0	3	1	5	2	2
Rab4a	175	205	252	234	345	157	416	197	178	182	222	284
Cdc25b	1014	697	1140	955	1140	448	1261	663	905	1287	1038	1196
DQ692500	0	0	0	0	0	0	0	0	0	0	0	0
Plgrkt	219	110	107	85	208	146	259	204	179	85	76	108
DQ542774	0	0	0	0	0	0	0	0	0	0	0	0
Frat2	126	103	168	267	221	157	206	207	103	174	168	187
Olfr860	0	0	0	0	2	0	0	0	0	0	0	0
Chgb	9	4	33	65	10	38	12	73	16	53	49	98
Csgalnact1	198	50	21	23	77	134	81	150	164	28	16	28
DQ568244	0	0	0	0	0	0	0	0	0	0	0	0
Nxph4	1	3	8	23	5	8	3	7	2	26	16	20
Mir6957	0	0	0	0	0	0	0	0	0	0	0	0
Epx	5	0	2	0	1	3	1	3	1	0	1	3
Mir6373	0	0	0	0	0	0	0	0	0	0	0	0
Ms4a3	3	1	0	0	1	0	1	0	3	0	0	2
Trpv2	54	13	19	62	27	75	36	97	73	33	29	55
AK015829	0	0	0	2	0	0	0	0	0	0	0	0
Pde3b	1097	961	1370	963	1660	395	1687	567	904	1310	985	1217
AW549877	991	824	957	726	1330	878	1544	997	689	1314	745	1009
AK021128	0	0	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0	0	0
Sema3c	1306	822	651	575	1317	800	1371	934	1095	551	324	681
Mir3073b	0	0	0	0	0	0	0	0	0	0	0	0
Abcc2	6	7	4	2	7	0	5	2	1	4	1	2
Olfr75-ps1	0	0	0	0	0	0	0	1	0	0	1	0
AK039178	24	25	20	19	24	22	19	8	18	15	19	18
UCP4	18	27	29	22	63	38	57	32	9	34	31	42
AK145764	40	60	96	67	100	45	99	59	28	76	75	75
Med8	783	734	1123	905	1441	375	1510	645	707	848	681	1009
Cyb5r4	1938	2305	3140	2454	4050	2478	4466	2404	1526	3550	2698	3200
5430431A17Rik	14	2	12	4	3	26	10	23	17	5	0	11
Khdrbs3	506	679	1551	1193	1380	368	1495	669	541	1508	1086	1529
AK156827	0	0	0	0	4	0	2	0	0	0	1	0
AK076852	0	0	0	0	0	0	0	0	0	0	0	0
DQ724082	0	0	0	0	0	0	0	0	0	0	0	0
Atg4d	413	371	555	442	746	260	764	394	377	438	355	597
4933429K18Rik	0	1	0	0	1	0	0	0	0	2	1	0
Ppargc1b	56	41	31	21	73	57	85	73	56	39	28	19
Gdpd1	192	253	332	324	500	208	529	300	173	289	285	368
Tuba4a	185	104	148	139	190	171	222	242	169	153	95	145
Gm9828	20	33	55	34	77	24	64	30	12	34	35	45
Lrrc74b	12	9	6	10	17	11	20	11	9	12	12	13
Olfr1131	0	0	0	1	0	0	0	0	0	0	0	0
NR_046212	3	0	1	4	3	1	0	7	2	3	2	3
AK141523	23	14	33	22	43	53	50	34	13	36	18	35
Klc4	521	573	599	527	1046	284	1178	578	542	669	403	700
Lipt1	95	86	86	48	169	43	184	82	78	79	40	75
Kif1bp	679	512	594	522	976	385	1031	596	508	616	433	619
4933409F18Rik	0	0	0	0	0	0	1	0	0	1	1	0
Sumf2	751	540	509	476	1088	405	1178	657	690	425	324	594
Cables2	553	365	464	366	622	280	722	409	491	530	321	459
Ttc1	908	676	841	646	1471	344	1492	616	759	739	484	820
AK046300	0	0	9	15	0	0	0	0	0	11	11	7
Sdr16c6	0	0	0	0	1	8	1	17	0	0	0	0
Smoc1	17	340	494	499	550	181	587	365	22	570	393	483
Rpl15	27459	15139	20409	17091	35554	9705	40344	15592	23121	13658	11904	22182
Gm32461	0	0	0	0	1	0	0	0	0	0	1	0
Cdc45	1291	1115	1426	933	2183	300	2326	512	1124	1120	810	1337
AK044594	156	237	222	185	338	159	365	152	132	229	189	242
Nphp1	816	566	685	552	1051	340	1029	445	602	636	467	638
Ptpn23	521	334	609	450	665	427	679	563	362	570	516	649
DQ723826	0	0	0	0	0	0	0	0	0	0	0	0
Nudt14	420	284	263	297	630	205	736	347	383	138	160	310
Mir7000	0	0	0	0	0	0	0	0	0	0	0	0
P2rx1	21	9	21	20	35	17	34	15	35	25	17	35
Vmn1r227	0	0	0	0	1	0	0	0	0	0	0	0
Zfp354a	214	169	185	135	280	127	297	161	168	200	133	191
Avpr1b	0	3	0	3	6	1	0	0	0	18	6	9
Tnf	4	2	1	4	3	5	4	13	3	5	5	5
Ndufs1	2854	2730	2535	1971	4767	1193	5054	1783	2479	2498	1483	2614
AK138429	10	15	16	15	27	38	13	16	5	14	5	27
Mir6965	0	0	0	0	0	0	0	0	0	0	0	0
DQ715600	0	0	0	0	0	0	0	0	0	0	0	0
Pgls	2487	1322	2037	1887	3022	909	3641	1558	2418	1243	1241	2120
Bach1	1315	2128	2095	1678	3792	1048	4080	1601	1134	2303	1383	2237
Rbsn	1369	1166	1160	833	2180	768	2340	1149	1115	1403	753	1161
Bax	1298	1044	1380	1150	2187	555	2554	882	1141	925	805	1512
Kcng2	42	17	5	7	26	18	24	34	41	12	6	11
AK085371	79	69	83	44	109	68	136	70	37	70	69	69
Trip12	7617	6623	6852	5929	11679	5334	12485	6719	6074	8728	5975	7110
Gm3776	0	0	0	0	0	0	0	0	0	0	0	1
Tnfrsf10b	339	383	439	325	707	399	763	450	248	419	395	426
AB345261	0	0	0	0	0	0	0	0	0	0	0	0
Pth1r	2077	1193	1272	800	2159	1050	2181	1674	1923	1111	488	1403
Mcl1	4662	3306	4452	3647	6589	1827	6346	2786	3887	4356	2729	4148
AK161769	375	56	126	91	139	20	109	22	269	69	54	102
Eml3	819	547	639	481	1020	358	1167	506	684	668	356	686
1810020O05Rik	1	2	1	1	0	0	1	1	0	0	3	0
Ccdc112	155	198	123	138	321	142	350	241	109	127	84	134
Kcnc3	7	8	57	25	29	29	15	34	4	29	44	37
AK045943	22	15	20	11	14	15	19	13	11	16	4	16
Taldo1	2567	2213	2648	2349	4354	1262	4688	1921	2484	1993	1706	2863
AK139814	3	6	7	6	18	3	15	6	6	7	8	9
Pltp	635	402	216	328	693	271	873	493	552	188	229	298
Sec24b	984	700	985	777	1248	672	1460	922	629	1201	895	1048
Zfp229	447	459	389	328	781	311	765	398	323	451	313	412
Ift20	813	438	448	415	903	369	1112	596	687	342	264	500
AB352792	0	0	0	0	0	0	0	0	0	0	0	0
DQ708892	0	0	0	0	0	0	0	0	0	0	0	0
BC016540	1	0	0	0	0	2	3	0	0	0	0	0
Cd33	16	5	5	12	14	11	24	14	21	5	15	6
4921509C19Rik	1	2	2	1	4	5	3	3	0	1	5	1
DQ553291	0	0	0	0	0	0	0	0	0	0	0	0
Mrps30	1303	1118	1326	1006	2079	522	2267	725	1160	1040	702	1217
Cd3g	1	1	0	0	0	2	2	0	0	0	1	0
Ccnyl1	470	612	636	582	1004	302	1011	419	447	773	457	623
Mmp20	0	0	0	1	1	0	0	0	0	0	0	0
Zfp385c	23	31	39	52	52	45	68	46	14	37	38	24
Gm12530	0	0	0	0	1	1	4	0	1	0	0	0
AK142750	5082	2586	3699	2851	4669	4634	5189	4303	3387	3906	3447	4197
AK042797	13	8	16	13	21	13	24	14	3	19	17	17
Ppp4r3b	2773	2916	2455	2053	4725	1693	5323	2291	2228	2873	1686	2504
Smyd3	357	320	264	195	579	248	604	350	327	260	163	287
Gm19522	16	23	38	26	33	39	30	34	22	36	27	22
Olfr1286	0	0	0	1	1	0	0	0	0	0	1	1
KY467639	3	0	5	1	4	0	3	2	0	3	1	2
Pax8	0	2	62	18	7	0	5	1	0	63	38	36
2310043M15Rik	2	1	5	8	0	2	1	7	2	3	2	3
AK079703	6	5	1	1	5	1	7	2	4	2	3	2
Nek5	14	2	4	0	1	4	9	1	9	2	5	1
DQ692983	0	0	0	0	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	1	0	0	0	0	0	1	0	0	1
Nrg3	2	3	6	8	2	25	2	25	2	14	18	17
Pax5	0	0	1	13	0	1	0	0	0	2	45	1
Actc1	1141	364	554	43	658	1638	746	2353	2538	658	24	724
AK134344	3080	9919	6382	5960	15461	1887	17029	1992	2093	6625	5142	5577
Phka1	503	498	388	293	781	409	858	484	379	419	238	372
Mir133b	1	16	38	0	50	78	45	100	26	21	1	36
Gm12338	3	7	18	33	67	17	48	22	0	9	3	6
DQ706036	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc68	13	30	9	73	56	18	31	28	8	11	21	12
AK132634	0	0	1	4	1	1	0	6	1	3	3	2
5430401F13Rik	0	1	0	0	0	0	2	0	0	0	0	0
Creb3l4	86	73	52	49	120	55	171	63	71	54	33	55
DQ703520	0	0	0	0	0	0	0	0	0	0	0	0
Mir339	0	0	0	0	0	0	0	0	0	0	0	0
Uri1	2018	1116	1396	1134	1954	725	2063	1048	1654	1415	831	1274
Mfsd11	242	225	267	194	331	210	411	307	248	170	133	268
Frmd4a	1683	1883	1715	1293	3281	1513	3416	2002	1347	2349	1559	2037
Trmt10b	245	202	202	182	389	128	403	167	246	206	113	222
Olfr1095	0	0	0	0	0	0	2	0	0	0	0	0
Ccdc102a	1002	1002	712	518	1770	696	1841	1024	941	700	429	774
1700010I02Rik	0	0	0	0	0	0	0	0	0	0	0	0
Skint3	2	0	1	1	0	2	0	0	0	1	4	1
DQ687184	0	0	0	0	0	0	0	0	0	0	0	0
Olfr332	0	0	0	0	0	0	1	0	0	2	5	0
DQ725872	0	0	0	0	0	0	0	0	0	0	0	0
DQ569163	0	0	0	0	0	0	0	0	0	0	0	0
DQ562661	0	0	0	0	0	0	0	0	0	0	0	0
Alpl	63	87	146	159	182	420	183	466	44	198	163	157
Fut4	181	201	194	123	330	61	375	80	143	211	86	230
KY467532	0	0	0	0	0	0	0	0	0	0	0	0
Rpp38	276	166	188	174	280	103	303	128	209	174	79	140
Camk1g	362	107	91	146	232	175	248	221	276	97	75	107
BC024386	1	0	1	1	3	0	1	1	6	0	3	9
DQ705717	0	0	0	0	0	0	0	0	0	0	0	0
Bmp6	73	32	77	55	71	93	68	131	66	102	102	76
Sh2d1a	0	0	0	0	1	4	0	5	0	0	0	0
C030037D09Rik	33	41	58	60	61	29	68	39	44	82	68	69
Bag1	2906	2508	2610	2456	4576	1241	4879	2128	2655	2563	1525	2629
Gprc6a	23	0	0	1	0	0	0	0	12	2	2	0
Zfp687	1118	1090	1544	1193	1904	590	2084	864	985	1716	1036	1465
Cstf2t	2776	2707	2617	1885	4721	1429	4935	2161	2291	2904	1612	2658
Celf2	2677	399	471	606	679	1114	706	1450	2084	804	883	568
Mir3473e	0	0	0	2	0	0	0	0	0	0	0	0
Gm16712	8	10	24	11	22	1	20	6	10	13	14	20
Cyp7b1	343	43	29	21	77	137	81	143	290	30	11	28
Olfr284	0	0	0	0	1	1	1	1	0	1	3	0
T	9	12	38	15	18	7	35	13	2	545	3	358
Xkr5	223	240	274	179	387	73	444	103	199	255	177	222
Cldn34b3	0	0	0	0	0	0	0	0	0	0	0	0
Asmt	0	0	0	0	3	0	0	0	0	2	1	0
E230016M11Rik	55	32	36	29	68	26	63	35	35	41	35	26
AK080631	0	0	0	0	6	0	5	0	0	0	0	0
Scoc	940	669	753	626	1182	459	1191	582	732	832	535	821
Thbs4	74	24	28	29	47	152	54	319	123	18	26	40
Gm6093	4	7	6	10	21	6	22	9	4	23	30	12
DQ542586	0	0	0	0	0	0	0	0	0	0	0	0
Atp1b2	39	15	26	33	23	58	27	78	52	31	33	38
Med16	1492	1125	1580	1223	2029	795	2276	1201	1442	1586	1189	1571
AK046786	40	51	63	53	132	35	123	34	27	98	174	71
Vstm2b	10	31	81	108	79	88	79	134	13	94	96	104
DQ702969	0	0	0	0	0	0	0	0	0	0	0	0
Trappc13	1396	1022	1298	1040	1974	633	2056	934	1009	1263	818	1160
AK087918	102	143	215	165	288	172	286	164	81	199	146	176
Thrb	10	14	24	35	15	76	32	92	20	20	25	26
Ppp1ca	9563	6583	7837	6667	13534	3113	14359	5503	8501	6574	4720	8634
Lhfpl4	27	36	320	217	55	115	60	183	33	325	286	363
AK215081	0	0	0	0	0	10	0	0	0	0	0	0
2310002L09Rik	0	15	27	0	35	16	37	36	1	25	0	23
LOC102632231	58	48	59	60	124	78	110	68	23	86	68	51
Smr3a	0	0	0	1	1	0	1	0	0	0	0	1
DQ569535	0	0	0	0	0	0	0	0	0	0	0	0
AK172204	16	13	23	22	24	34	28	14	8	32	32	14
Gm20823	0	0	0	0	0	0	0	0	0	5	0	0
KY468069	26	42	57	64	137	38	127	43	32	27	47	83
Olfr178	0	0	0	0	1	0	0	0	0	0	0	0
Mmp12	105	105	186	123	246	216	266	156	64	202	233	165
AK017280	403	659	599	427	1035	403	1089	393	329	633	391	645
Mir7043	0	0	0	0	0	0	0	0	0	0	0	0
Sdad1	1916	1862	2324	1635	3283	895	3390	1249	1621	2592	1423	2086
H2afv	2541	2032	3330	2616	5657	1180	6264	2125	2411	1996	2154	3697
BC145376	0	0	0	0	0	0	0	0	0	0	0	0
Mgat4b	594	318	528	413	620	265	629	377	574	543	325	465
Sh2d1b2	0	0	0	0	0	0	0	0	0	0	0	0
AB351440	0	0	0	0	0	0	0	0	0	0	0	0
DQ565595	0	0	0	0	0	0	0	0	0	0	0	0
Zfp780b	585	501	501	374	803	394	916	511	500	623	388	475
Lta	1	0	0	0	0	2	1	0	1	1	0	0
Rgs9bp	105	41	55	37	69	17	45	39	95	55	54	38
Chp2	1	0	0	0	0	6	2	6	7	0	0	2
AK090372	12	9	13	7	33	6	17	7	0	9	13	19
Adam8	52	30	69	49	88	29	84	68	26	80	57	73
Prune1	570	530	542	492	936	340	1052	473	504	582	382	624
DQ726291	0	0	0	0	0	0	0	0	0	0	0	0
AK160977	75	82	148	88	148	85	164	87	38	97	92	131
AK156692	9	8	8	13	7	17	12	15	1	15	18	16
Mir7077	0	0	0	0	0	0	0	0	0	0	0	0
Apip	587	333	392	276	710	262	858	413	565	258	240	387
AK139826	235	167	161	112	286	149	335	197	135	151	115	171
Blzf1	391	350	332	271	551	219	607	335	346	371	228	327
AK030610	13	25	43	31	48	16	45	21	9	51	25	32
4930539E08Rik	25	29	74	37	62	32	43	38	27	50	63	54
Scin	5	13	4	4	22	28	13	52	4	3	0	5
AK039878	53	99	132	100	179	55	181	50	55	185	95	130
DQ567796	0	0	0	0	0	0	0	0	0	0	0	0
A830029E22Rik	0	0	0	0	0	0	1	0	0	0	0	0
4921509O07Rik	0	0	0	1	0	0	0	0	0	1	5	0
1700123M08Rik	14	8	8	9	7	6	18	12	14	3	7	10
Dnaaf1	1	7	7	4	8	5	9	6	2	3	9	17
Axdnd1	4	1	3	2	10	2	3	3	3	2	5	9
Tmem154	17	7	3	4	11	46	10	26	18	6	4	3
Dhx32	447	290	658	670	506	262	544	366	339	693	698	695
Stam	1077	943	960	792	1757	638	1806	929	915	1134	771	1040
AK196840	0	0	0	0	0	0	0	0	0	0	0	0
Snord52	0	0	0	0	0	0	0	0	0	0	0	0
DQ724574	0	0	0	0	0	0	0	0	0	0	0	0
Plscr1	435	315	508	306	546	132	624	203	367	370	199	446
AK216920	0	18	47	12	34	0	34	0	18	33	33	24
DQ699466	0	0	0	0	0	0	0	0	0	0	0	0
AB346669	0	0	0	0	0	0	0	0	0	0	0	0
Hoxa6	75	31	83	0	69	1	61	0	74	78	0	64
Ms4a4b	0	1	0	5	0	0	1	0	0	0	0	1
Olfr1309	0	0	0	0	0	0	0	0	0	0	0	0
AK020506	5	1	1	0	5	0	5	3	5	0	0	6
Hcn4	86	38	97	48	96	40	82	59	88	64	40	76
Ptgir	30	21	6	5	37	28	28	37	17	10	8	12
Fancf	216	229	305	230	493	153	484	276	229	300	168	304
4930402F11Rik	0	0	0	1	0	0	0	0	0	0	0	0
Spin4	286	262	217	159	412	180	466	288	244	187	163	234
Rnase11	0	0	0	0	0	0	0	0	0	1	2	0
Plrg1	2168	1761	1945	1479	3458	769	3771	1254	2014	1647	1283	1978
Snhg12	609	343	493	331	699	260	819	343	480	336	260	449
Gm21671	5	0	0	0	0	2	0	4	7	0	0	0
DQ710317	0	0	0	0	0	0	0	0	0	0	0	0
C430049E01Rik	16	13	2	7	26	11	24	2	5	5	7	8
Atp13a1	1705	1579	1890	1483	3011	942	3293	1322	1417	1677	1277	1956
Upp2	13	10	15	5	29	15	31	25	11	12	7	5
2900041M22Rik	7	7	3	3	24	10	21	9	6	3	2	6
Pnlip	1	0	0	0	0	0	0	0	1	1	0	1
Urod	1185	1005	1213	1053	2087	500	2380	828	1107	1043	788	1592
Zzz3	2867	2635	2671	1907	4524	1561	5045	2111	2465	3185	1864	2532
Rmdn1	119	100	63	73	180	97	204	131	128	67	62	73
Maob	89	61	76	67	98	87	125	144	92	52	43	63
Gm15555	0	0	0	0	1	0	0	0	0	0	0	0
