Gene	B6_E14_lung_rep2_TAGCTCG-TAGTAGA_R1.final	B6_E10_limb_rep2_GGACATT-ACTCCTA_R1.final	B6_E10_trunk_rep2_TCCACGT-GTTTAGT_R1.final	B6_E10_head_rep1_GACTTGC-GAACCGT_R1.final	B6_E10_limb_rep1_CCACTCG-CCGAATT_R1.final	B6_E14_palate_rep1_ACTCTTT-CTTCATT_R1.final	B6_E10_limb_rep3_CGGTTTG-AAGCCTT_R1.final	B6_E14_palate_rep2_AAGTTTC-GCTTCCT_R1.final	B6_E14_lung_rep1_AGATCAG-ATGGAAC_R1.final	B6_E10_trunk_rep3_GCGTTCA-GCAATAT_R1.final	B6_E10_head_rep3_CTCCTAG-AGGTAGG_R1.final	B6_E10_trunk_rep1_AGCTTAT-GCTCCTC_R1.final
DQ727044	0	0	0	0	0	0	0	0	0	0	0	0
Gltp	8.94	16.41	15.7	14.82	12.15	16.73	12.19	18.75	8.82	20.76	14.62	13.15
Lsm8	98.65	127.7	111.22	88.6	110.12	63.31	123.18	61.85	98.77	111.45	73.85	91.44
5031439G07Rik	16.43	21.69	24.49	19.7	14.76	23.18	15.99	22.35	15.42	39.62	20.95	20.26
Spn	0.28	0.2	0.25	0.29	0.37	0.36	0.27	0.38	0.19	0.33	0.23	0.19
Mir203	0	0	0	0	0	0	0	0	0	0	0	0
Mir499	0	0	0	0	0	0	0	0	0	0	0	0
KY467573	0.2	0.19	0.29	0.09	0.17	0.37	0.32	0.2	0.07	0.38	0.25	0.21
Wrb	17.19	28.77	35.11	24.44	22.88	19.26	22.94	19.95	17.52	38.91	27.24	24.83
Far1	34.1	48.39	44.4	33.54	31.1	46.45	33.63	36.58	28.29	51.83	38.42	33.78
Plac9b	10.57	1.07	0.43	0.42	1.62	6.11	1.09	8.11	15.05	0.39	0.15	0.23
Trappc3l	0	0	0	0	0	0.09	0	0.06	0	0	0.16	0.05
Fabp6	0	0	0.16	0	0	0	0	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0	0.05	0	0.08	0.13	0	0
Cxcl17	0	0.25	0.3	0	0.15	0.31	0.3	0.21	0.08	0	0	0.24
AK053416	0	0	0	0.07	0.04	0	0	0	0	0	0.18	0
DQ690773	0	0	0	0	0	0	0	0	0	0	0	0
Shisa4	13.17	12.75	19.83	17.77	12.16	8.33	11.93	9.29	11.61	25.79	14.56	14.17
Thsd7b	1.13	0.44	1.1	2.48	0.47	7.51	0.33	7.44	1.34	1.38	1.8	1.41
DQ540736	0	0	0	0	0	0	0	0	0	0	0	0
Acta1	1.54	3.04	14.37	0.19	2	63.85	2.62	71.99	19.05	21.62	0.12	14.06
DQ554228	0	0	0	0	0	0	0	0	0	0	0	0
Zfp704	9.39	11.21	8.73	5.88	7.91	16.08	8.58	12.02	7.52	15.16	8.34	6.42
4930455G09Rik	0.67	0.31	0.13	0.25	0.58	0	0.38	0.52	0.71	0.33	0	0.1
Aadacl3	0	0.03	0	0	0.01	0	0	0	0	0	0.03	0
DQ562150	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r14	0	0	0	0.08	0	0	0	0	0	0	0	0
Snord64	0	0	0	0	0	0	0	0	0	0	0	0
Siglecf	0.07	0.14	0	0	0.13	0.19	0.15	0.08	0.07	0.14	0.11	0.07
Eci2	61.41	60.75	39.87	36.8	47.05	50.57	49.31	56.1	58.51	49.53	32.32	34.77
AK138222	0.02	0.02	0.04	0.03	0	0.29	0	0.17	0	0.07	0.03	0.03
Ugt2a2	0	0	0	0	0.03	0.36	0	0.4	0	0	0.03	0
1700037H04Rik	22.32	27.38	39.75	28.71	23.96	23.42	25.94	23	20.75	42.57	34.95	31.23
DQ714587	0	0	0	0	0	0	0	0	0	0	0	0
Oas1c	0.14	0.64	0.37	0.33	0.22	0.37	0.44	0.41	0.34	0.28	0.42	0.19
Tmub2	14.47	17.02	15.58	13.71	13.04	18.92	14.76	18.79	13.67	18.78	14.15	13.63
AK206687	0	0	0	0	0	2.48	0	0	1.14	0	0	0
Mir1964	0	0	0	0	0	0	0	0	0	0	0	0
E030024N20Rik	1.85	1.57	2.69	2	1.24	3.4	1.72	2.21	1.28	3.37	2.57	2.04
Luc7l3	78.41	151.25	107.83	79.51	99.95	81.12	102.85	77.86	66.92	144.83	81.24	86.28
Srp54a	22.21	28.07	19.02	16.5	19.65	27.11	22.02	21.71	20.42	27.7	17.15	16.58
Pim3	17.21	23.83	21.55	15.96	17.54	18.88	18.17	18.66	19.38	27.87	14.56	16.94
1700018A04Rik	0.74	0.03	0.33	0.93	0	0.44	0.04	0.62	0.91	0.85	0.66	0.7
Mir124a-3	0	0	0	0	0	0	0	0	0	0	0	0
Tifa	2.89	1.26	0.88	1	0.62	1.68	1.17	1.14	2.4	0.64	0.92	0.53
AK017104	0.15	0.16	0.2	0.13	0.2	0.1	0.1	0.27	0.11	0.52	0.08	0.26
Ss18l1	2.82	5.42	5.78	4.59	3.97	6.7	4.19	5.53	3.09	8.43	5.84	5.04
DQ696836	0	0	0	0	0	0	0	0	0	0	0	0
DQ690906	0	0	0	0	0	0	0	0	0	0	0	0
Zfp935	7.53	11.81	8.87	6.3	8.3	13.03	7.99	10.87	7.22	12.53	7.19	6.54
DQ712503	0	0	0	0	0	0	0	0	0	0	0	0
DQ549253	0	0	0	0	0	0	0	0	0	0	0	0
DQ696405	0	0	0	0	0	0	0	0	0	0	0	0
Mir7226	0	0	0	0	0	0	0	0	0	0	0	0
Slc6a4	0.38	0.59	0.51	0.42	0.37	0.57	0.35	0.41	0.26	0.26	0.13	0.28
4833423E24Rik	0.1	0	0	0	0	2.75	0.02	1.68	0.07	0.05	0	0
Tyro3	12.85	21.9	14.81	16.25	16.42	24.24	16.65	22.57	12.92	20.02	15.31	12.61
Cers5	31.02	40.25	30.56	23.84	31.6	30.18	32.25	30.63	28.02	35.05	21.65	23.04
Prpf18	16.34	27.1	20.01	13.46	18.65	17.13	19.23	17.07	15.85	30.09	15.49	16.76
DQ546033	0	0	0	0	0	0	0	0	0	0	0	0
Zfp654	5.17	6.43	5.18	4.04	4.5	7.45	4.77	5.96	4.27	9.14	4.81	3.94
Gm13304	3.01	0.13	0	0	0	1.55	0	0.81	3.27	0.16	0	0.1
9230109A22Rik	0	0.05	0	0	0.04	0	0	0	0	0	0	0
DQ556009	0	0	0	0	0	0	0	0	0	0	0	0
1600014C10Rik	5.56	6.1	5.51	4.92	5.84	6.75	5.71	7.97	5.6	6.38	4.95	4.75
Crxos	0.21	0.08	0.03	0.44	0.18	0.84	0.35	0.43	0.11	0.14	0.21	0
AK076947	0	0	0.32	0.16	0.49	0.72	0.08	0	0	0	0.4	0
EF651840	0.67	0.97	0.8	0.74	1.42	2.63	0.46	0	0	0	0	0
Elavl2	1.63	1.73	8.25	8.51	1.07	5.1	1.11	4.22	1.39	15.97	12.04	8.93
Csf1	5.24	2.31	2.17	2.22	2.12	5.47	2.16	3.95	4.07	3.25	1.9	2.03
DQ716500	0	0	0	0	0	0	0	0	0	0	0	0
Mrps28	42.52	31.38	47.76	37.92	34.8	26.07	40.17	26.27	43.15	31.52	32.22	37.45
Alg10b	25.29	47.75	36.39	25.25	31.7	30.31	33.5	25.38	20.99	50.23	32.51	28.4
Sctr	0.44	0.23	0.23	0.04	0.04	0.23	0	0.08	0.35	0.24	0.19	0.21
DQ556198	0	0	0	0	0	0	0	0	0	0	0	0
Ticam1	2.57	2.96	2.53	1.66	1.91	3.38	2.19	3.18	2.89	2.73	2.1	1.89
Mir219b	0	0	0	0	0	0	0	0	0	0	0	0
AK145396	2.45	3.14	6.13	3.92	1.75	2.2	1.31	1.91	1.5	2.98	5.76	4.54
Catip	0.39	0.3	0.24	0.2	0.25	0.21	0.38	0.32	0.35	0	0.22	0.19
Olfr1053	0	0	0	0	0.12	0	0	0	0	0	0	0
AK077474	0.27	2.62	0.73	0.46	1.68	1.12	0.55	1.78	1.3	0.47	0.95	1.28
Cfb	0.73	0.59	0.53	0.4	0.66	0.57	0.64	0.41	0.43	0.59	0.54	0.61
Olfr133	0	0	0	0	0.16	0	0.04	0	0	0	0	0
Sycp2l	0	0	0.14	0.16	0.01	0	0.01	0	0	0.04	0.14	0
DQ706336	0	0	0	0	0	0	0	0	0	0	0	0
Irf8	3.77	1.17	1.78	1.3	0.81	2.14	0.88	1.61	4.52	2.71	1.84	1.51
AK085498	1.07	2.04	2.24	2.44	1.95	2.31	1.04	1.4	1.35	2.52	2.44	2.22
AK020854	0	0	0	0	0	0	0	0	0	0	0	0
Epb41l4a	2.49	8.28	8.3	5.43	6.65	6.7	8.23	5.44	2.37	10.97	11.52	6.61
Dok5	0.6	2.66	1.32	5.75	1.56	5.33	1.75	5.19	0.96	2.75	5.13	2.74
DQ726777	0	0	0	0	0	0	0	0	0	0	0	0
1810021B22Rik	0.55	1.93	0.12	0.35	0.8	0	0.42	0.62	0.68	0.16	0.15	0.47
5033403H07Rik	0	0	0	0	0	0	0	0	0	0.23	0	0
Smim10l2a	3.53	6.86	3.96	2.59	6.36	3.21	6.6	3.25	3.17	5.21	2.5	2.89
Zfp729a	5	7.24	5.2	3.64	5.18	7.27	5.2	6.45	4.11	7.19	4.95	3.94
DQ693470	0	0	0	0	0	0	0	0	0	0	0	0
2900040C04Rik	0	0	0	0	0	0	0.09	0	0	0	0	0
DQ540035	0	0	0	0	0	0	0	0	0	0	0	0
Krtap11-1	0	0	0.07	0	0.04	0	0	0	0	0.29	0	0
AB339875	0	0	0	0	0	0	0	0	0	0	0	0
DQ545110	0	0	0	0	0	0	0	0	0	0	0	0
DQ695300	0	0	0	0	0	0	0	0	0	0	0	0
Olfr76	0	0	0	0	0	0.12	0	0	0	0.2	0.1	0
Gm5431	0.22	0.25	0.18	0.24	0.17	0.5	0.13	0.36	0.14	0.62	0.3	0.15
Mir7072	0	0	0	0	0	0	0	0	0	0	0	0
Usp1	47.44	59.47	50.78	45.48	43.04	38.37	46.08	36.26	41.82	77.97	45.47	38.3
Polr2l	41.36	38.87	55.62	44.61	42.14	29.45	44.32	32.86	43.22	54.41	49.51	49.25
Fam213b	25.91	22.84	16.64	15.59	21.79	19.23	24.69	23.65	23.74	13.05	13.77	15.71
Pla2g1b	0.17	0	0	0	0.12	0	0	0	0.18	0	0	0
Ccl25	3.81	6.1	5.45	3.96	4.43	4.59	2.82	2.38	2.61	5.89	4.47	4.05
Olfr429	0	0.29	0	0	0	0	0	0	0	0.1	0	0
Chia1	0.07	0.12	0	0.05	0	0	0.02	0.05	0.04	0.06	0.12	0
Actn3	1.31	1.42	3.84	2.36	1.23	3.89	1.29	4.17	1.29	3.51	1.45	2.83
AK031300	0.21	0.05	0.05	0	0.1	0.36	0.04	0.17	0.1	0	0.05	0.06
DQ561547	0	0	0	0	0	0	0	0	0	0	0	0
DQ549481	0	0	0	0	0	0	0	0	0	0	0	0
Klkb1	0.03	0	0	0.02	0.01	0.06	0.02	0.05	0	0.04	0	0
Dolk	13.28	15.69	11.69	8.21	10.08	9.71	10.13	11.95	12.61	11.26	8.52	9.13
Bricd5	0.12	0.38	0	0.69	0	0.26	0.07	0.17	0	0.48	0	0.16
Traip	15.93	22.64	19.94	14.94	17.17	8.12	19.24	11.22	14.37	23.15	14.72	16.17
AK046026	0.11	0.11	0.07	0.1	0.08	0.22	0.06	0.08	0.1	0.2	0.15	0.16
Dnajc13	15.91	20.41	18.19	14.34	14.69	21.23	14.86	19.09	13.19	30.94	17.67	15.29
Fpr-rs6	0	0	0	0	0	0	0	0	0	0	0	0
Htr1b	0.74	0.42	0.83	0.59	0.44	2.71	0.28	1.34	0.63	0.62	1.42	0.56
Apol9b	0.07	0	0	0	0	0	0.04	0	0.15	0	0.29	0
Kcnh4	0.01	0.02	0.15	0.23	0.01	0.14	0.05	0.24	0.01	0.31	0.46	0.14
Dynlt1c	165.06	139.48	137.12	120.56	150.58	118.38	155.5	117.55	170.86	105.04	99.03	133.96
DQ563978	0	0	0	0	0	0	0	0	0	0	0	0
Gins3	13.41	19.06	15.61	10.43	13.21	9.6	13.72	9.67	11.66	18.88	12.93	11.05
AK008482	0	0	0.04	0	0	0.53	0	0	0.18	0	0	0
Zfp106	24.43	40.75	41.99	28.75	28.81	34.13	30.63	31.01	21.02	70.38	41.43	30.96
Cyb561d1	1.07	1.81	2.39	2.01	1.26	2.09	1.51	1.95	0.77	3	2.12	1.59
AB337824	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc22	0	0	0	0	0	2.34	0.05	1.48	0	0	0.24	0
Rnf113a2	8.74	12.1	10.02	8.4	10.61	7.92	10.96	10.48	8.69	13.09	8.96	8.25
0610039H22Rik	0.08	0.26	0.75	0.1	0.22	0.97	0	0.11	0.17	0.96	0.67	0.08
DQ550471	0	0	0	0	0	0	0	0	0	0	0	0
Krt72	0	0.11	0	0	0.05	0.07	0.05	0.09	0	0.06	0	0
Ciapin1	35.86	49.56	55.37	46.24	37.65	32.24	45.22	32.64	40.23	38.48	37.39	49.95
Lingo4	0.02	0.09	0.07	0.12	0.01	0.14	0.05	0.02	0.06	0.49	0.39	0.07
Esrrb	0.03	0.19	0.14	0.21	0.1	0.34	0.12	0.29	0.12	0.25	0.21	0.14
Rmdn3	15.25	26.63	22.72	17.26	19.1	14.98	19.07	15.73	13.55	28.99	17.61	18.08
E030044B06Rik	0.41	0.27	0.65	0.21	0.47	0.66	0.51	0.22	0.09	0.46	0.41	0.17
Osbpl10	3.3	3.29	2.82	1.97	2.73	3.46	2.72	3.83	2.86	3.93	2.1	2.35
Nedd4l	3.39	5.53	5.56	5	4.92	10.73	4.96	10.13	4.61	9.49	5.36	4.78
Myt1l	0.04	0	0.13	0.26	0.02	3.44	0.02	3.41	0.1	0.4	0.49	0.46
Hivep2	2.18	2.91	2.54	2.02	2.22	11.79	2.4	7.82	2.27	5.4	4.93	2.36
4931428L18Rik	0.15	0	0.07	0.2	0.03	0	0.07	0.28	0	0	0.25	0.05
Mir709	0	0	0	0	0	0	0	0	0	0	0	0
Wdr45	15.19	11.3	9.1	6.11	8.88	12.36	9.47	13.96	13.06	10.45	7.29	7.92
DQ566244	0	0	0	0	0	0	0	0	0	0	0	0
Ddx27	33.92	51.96	52.78	39.31	37.88	26.69	39.56	26.35	29.09	68.77	39.34	39.88
Ace	0.35	0.03	0.04	0.11	0.09	0.36	0.1	0.48	0.26	0.14	0.25	0.1
Dbp	2.04	4.2	3.54	2.92	3.22	7.24	3.29	5.27	1.42	3.42	2.32	2.55
Plekhn1	1.69	3.15	2.47	2.4	2.24	6.72	2.24	4.21	1.54	3.53	2.84	2.85
Psmb11	0.49	0.97	1.16	1.24	0.69	1.66	0.82	1.07	0.45	1.28	2.08	0.61
Dydc2	0	0.17	0.14	0.27	0.21	0	0.14	0	0	0.18	0.34	0
Klhl31	0.39	0.29	0.54	0.1	0.4	2.09	0.4	2.46	0.75	0.87	0.19	0.59
Cnksr3	5.01	7.31	10.09	6.21	5.82	7.84	6.01	6.84	5	12.18	7.76	7.14
Tnc	8.31	20.76	5.81	1.8	15.38	45.42	16.18	40.04	9.28	9.67	1.9	7.81
Atp6v0d1	31.3	30.89	31.92	26.69	23.48	37.82	27.84	41.83	29.76	37.52	31.98	28.2
Fcgbp	0.16	0.48	0.1	0.38	0.59	0.69	0.23	0.73	0.21	0.34	0.32	0.1
DQ565311	0	0	0	0	0	0	0	0	0	0	0	0
DQ547675	0	0	0	0	0	0	0	0	0	0	0	0
Gm11186	0	0	0	0	0.03	0	0.06	0	0	0	0.08	0
Man1a	8.04	8.55	6.9	2.6	6.95	10.68	7.38	9.49	8.42	8.04	3.16	5.22
7630403G23Rik	0	0	0	0	0.03	0	0	0	0	0.09	0.09	0.05
DQ562131	0	0	0	0	0	0	0	0	0	0	0	0
Tmem38a	6.74	5.61	5.81	5.48	4.78	11.07	4.39	11.3	7.13	5.87	4.05	5.55
Dusp26	0.55	1.05	1.07	2.55	0.86	3.75	0.87	3.99	1.08	2.66	1.78	2.22
Map4	23.14	21.25	27.59	24.97	14.77	38.17	16.05	36.29	21.69	43.48	29.03	23.87
Mon1b	4.92	6.58	6.73	4.73	4.82	6.26	5.09	6.4	4.86	9.91	6.81	5.39
Dpp7	6.15	8.42	6.9	6.78	6.2	8.15	6.52	8.05	6.35	6.81	5.09	6.45
FJ541092	0	0	0	0	0	0	0	0	0	0	0	0
Gpc1	27.31	98.12	74.39	68.79	72.26	55.44	74.22	59.72	27.54	88.33	65.46	62.7
Krt31	0	0	0	0	0.02	0.14	0	0	0	0.08	0	0.04
Calcr	0.32	0.2	0.24	0.08	0.22	0.39	0.37	0.57	0.32	0.24	0.25	0.12
Reg3g	0	0	0	0	0	4.81	0	1.62	0	0	0	0
Ndufa9	80.74	89.76	84.79	65.15	76.65	60.88	87.19	66.41	78.54	81.01	65.48	68
Fuz	9.8	12.42	12.48	11.11	9.71	11.88	8.77	11.17	9.84	12.3	11.47	11.01
U80893	0.14	0	0	0	0.09	0	0	0.09	0	0	0.11	0
Olfr572	0	0	0	0	0.08	0	0.16	0	0	0	0	0
AB251337	0	0	0	0	0	0	0	0	0	0	0	0
Pabpn1l	0	0	0	0.13	0.07	0	0.03	0	0	0.08	0	0
Ttc5	33.46	53.86	46.36	42.8	43.42	46.4	45.3	43.73	34.27	53.85	40.51	40.38
Gm6568	0	0	0	0.11	0.09	0	0.29	0	0	0	0	0
1700123O20Rik	42.27	56.32	57.69	45.8	56.25	45.59	56.35	41.35	38.82	59.07	42.74	41.9
Trpm2	0.1	0.21	0.05	0.67	0.14	0.87	0.06	0.18	0.06	0.37	0.12	0.18
Mrgprx1	0	0.19	0	0	0	0	0	0	0	0	0	0
DQ695344	0	0	0	0	0	0	0	0	0	0	0	0
2310043L19Rik	0.08	0	0	0	0	0.51	0.11	0.23	0	0	0	0
Mir871	0	0	0	0	0	0	0	0	0	0	0	0
FJ541153	0	0	0	0	0	0	0	0	0	0	0	0
Hspa14	52.06	70.46	60.53	47.4	54.95	37.94	57.87	36.65	48.32	71.65	50.22	53.02
Nfkbia	18.19	17.98	11.74	10.19	15.58	22.96	16.11	24.55	18.58	12.32	9.4	9.04
Jam3	35.31	48.15	52.21	43.67	37.09	34.66	39.33	34.57	27.88	60.78	43.69	41.14
AK086971	0	0	0	0	0	0	0	0	0	0.25	0	0
Msi1	4.93	13.67	40.71	37.05	10.95	8.9	11.37	8.98	4.35	66.03	60.97	26.94
Irf5	2.52	2.31	2.05	1.29	1.5	2.23	1.5	2.35	2.31	3.14	0.67	1.84
Tmem45a2	0	0	0	0	0.03	0.07	0.01	0	0.02	0	0	0.02
Slc25a45	2.11	1.42	1.51	1.06	0.89	1.64	1.09	2.41	2.7	1.26	1.13	1.22
Mir218-1	0	8.2	0	0	0	0	0	0	0	0	0	0
AK136784	0.76	1.34	1.42	0.85	1.16	1.16	1.51	1.57	0.93	2.07	2	1.46
DQ545246	0	0	0	0	0	0	0	0	0	0	0	0
Ccnd2	69.32	95.23	135.07	103.65	70.41	106.45	73.78	101.15	64.35	195.4	142.53	99.24
Scap	16.4	20.84	21.25	14.65	15.2	19.11	18.16	20.05	16.23	26.35	18.26	16.7
Scp2d1	0.39	0.25	0.41	0.1	0.1	0.78	0	0.53	0	0.67	0.52	0.32
AF365933	0	0.04	0	0.03	0.05	0	0.11	0.03	0	0.16	0.23	0.02
DQ715965	0	0	0	0	0	0	0	0	0	0	0	0
AK083211	1.06	2.63	2.24	1.56	1.88	1.68	1.66	1.61	0.93	2.23	2.52	1.91
BQ-short	0	0.06	0	0.05	0.03	0	0.03	0	0	0.13	0.13	0.08
Dok3	1.18	1.45	3.38	1.81	1.44	2.16	1.65	1.23	1.16	2.62	2.78	2.5
Ghdc	3.13	4.14	3.27	3.13	3.24	4.05	2.87	4.28	3.44	2.99	1.52	2.33
KY467900	0	0	0	0	0	0	0	0	0	0	0	0
Gm10228	0	0	0	0	0	0	0.07	0	0	0	0.19	0.12
Gca	0.54	0.36	0.72	0.41	0.15	1.08	0.16	0.79	0.56	0.71	0.32	0.48
Vmn1r203	0	0	0	0	0	0	0	0	0	0	0.1	0
Oplah	5.62	2.65	1.57	1.86	2.04	5.64	2.06	5.49	4.81	2.53	1.52	1.77
Acot6	3.47	2.67	2.5	1.1	1.46	3.22	1.86	3.49	3.15	2.79	2.44	1.73
DQ567125	0	0	0	0	0	0	0	0	0	0	0	0
Ipp	5.37	9.02	8.57	6.87	7.22	8.23	8.72	5.89	4.86	12.13	8.63	7.62
AK029768	0	0	0	0	0	0	0	0	0	0	0	0
S100a9	8.23	0.59	0	0	0.4	6.93	0.39	9.03	21.52	0.21	0	0
Mir7013	0	0	0	0	0	0	0	0	0	0	0	0
DQ557816	0	0	0	0	0	0	0	0	0	0	0	0
DQ551154	0	0	0	0	0	0	0	0	0	0	0	0
Dlx5	0.08	2.96	0.33	2.8	2.19	5.26	2.61	6.22	0	0.6	2.89	0.26
Slc5a4a	0	0	0	0.03	0.02	0	0.02	0	0	0.04	0	0.05
Chmp4b	99.49	117.33	106.92	96.24	92.98	89.88	100.57	109.15	91.46	130.55	83.78	90.98
DQ684682	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a10	0	0.04	0	0.05	0.02	0	0.03	0	0.03	0	0	0
DQ541655	0	0	0	0	0	0	0	0	0	0	0	0
Zfp62	26.56	43.39	29.52	23.81	29.14	32.06	30.88	27.02	21.35	46.09	28.51	24.09
Cd14	1.1	0.58	0.43	0.34	0.87	1.17	0.83	0.79	1	0.39	0.27	0.23
Olfr1254	0	0	0	0	0	0	0	0	0	0	0	0
Trak1	6.23	4.15	7.83	5.48	3.11	9.78	3.27	9.48	4.95	14.14	11.66	5.58
Snhg3	57.77	47.89	39.99	45.1	40.66	24.66	34.8	31.44	39.82	54.57	29.73	41.99
Abhd13	20.03	27.3	22.52	17.34	21.26	19.07	20.6	18.17	18.39	31.7	19.44	19.54
Olfr126	0	0	0	0	0	0	0	0.08	0	0	0.1	0
Bcl2l1	13.7	19.7	15.57	15.86	14.82	21.05	15.56	19.53	12.49	23.74	17.27	13.51
Cox5a	115.21	119.29	163.75	133.69	115.82	89.56	131.83	93.85	121.84	135.18	133.49	126.03
Snta1	10.88	4.24	3.89	2.43	3.48	6.13	3.41	7.42	11.56	4.26	1.95	3.34
Pih1d2	0.83	1.43	1.28	1.44	1.3	1.23	1.42	1.07	0.69	2.4	1.53	1.04
AY512915	0.03	0.05	0	0	0.02	0	0.05	0	0	0	0.17	0
Kng2	0.04	0.05	0	0	0.04	0.13	0.06	0.05	0.04	0	0	0
Fip1l1	35.45	69.12	59.02	41.74	54.18	39.96	53.41	38.03	32.89	75	47.57	45.37
Taar2	0	0	0	0	0	0	0.04	0	0	0.09	0	0
Olfr273	0	0.1	0	0	0	0	0	0	0	0	0.1	0
DQ692938	0	0	0	0	0	0	0	0	0	0	0	0
Marcksl1-ps4	0.32	0.17	0.21	0	0.07	0.64	0.05	0	0.34	0.74	0.36	0.22
Zfpm2	8.25	0.74	1.78	1.7	0.63	2.82	0.56	1.55	6.89	1.71	2.18	1.3
Mir680-2	15.09	0	19.96	6.51	16.93	20.14	13.23	13.58	21.35	68.74	49.98	5.19
DQ708912	0	0	0	0	0	0	0	0	0	0	0	0
Pfkm	19.05	27.68	21.37	19.28	22.16	24.87	23.38	26.54	18.56	28.16	19.66	19.88
DQ719574	0	0	0	0.26	0	0	0	0	0	0	0.34	0
AK141015	0.15	0.21	0.45	0.05	0.1	0.47	0.19	0.23	0.22	0.29	0.19	0.32
Olfr130	0	0.1	0	0	0	0	0	0	0	0	0	0
Mir376b	0	0	0	0	0	0	0	0	0	0	0	0
DQ700361	0	0	0	0	0	0	0	0	0	0	0	0
DQ685445	0	0	0	0	0	0	0	0	0	0	0	0
Rpn1	100.86	104.01	78.88	67.98	75.1	74.79	81.94	76.76	91.07	88.6	60.9	66.56
Cyp1a1	0	0	0.05	0	0.03	0.04	0.03	0	0	0.07	0.1	0.02
Ufl1	6.85	11.12	7.3	7.21	7.55	9.04	8.27	7.76	6.17	10.24	7.52	6.9
Cyb5r2	0.19	0.31	0.32	0.78	0.35	0.25	0.34	0.33	0.25	0.33	0.44	0.4
AK088944	0.92	0.96	0.91	0.55	0.7	1.89	0.85	1.22	0.94	1.58	0.83	0.55
Chd8	17.73	26.61	30.9	21.95	19.72	32.3	21.04	27.7	14.41	52.4	34.23	21.96
AK089123	0	0	0	0	0.14	0	0.1	0.07	0	0	0.17	0.05
DQ549971	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc83	0	0.13	0	0	0	0.16	0.02	0.16	0	0.07	0	0
Rtp1	0.02	0.03	0.02	0	0.06	2.28	0	1.52	0	0	0.03	0
D4Ertd617e	0.57	0.26	0.23	0.22	0.53	0.34	0.37	0.43	0.17	1.71	0	0.74
Nup188	31.65	40.16	44.05	29.29	33.67	27.31	33.7	29.89	27.81	63.55	42.01	38.92
Mir325	0	0	0	0	0	0	0	0	0	0	0	0
Fance	18.33	24.6	22.89	17.44	19.81	16.4	19.85	19.84	16.98	26.16	15.6	17.72
